Mag,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,Cat,Depthneg
2.21,-110.5395,41.01,0.4,2007,8,9,3,23,24.67,0,-0.4
1.34,-113.0028,37.4587,0.4,2007,11,29,22,31,51.5,0,-0.4
1.25,-113.5495,37.0495,0.4,2008,7,1,18,9,49.28,0,-0.4
2.28,-110.6495,41.711,0.4,2008,7,8,16,7,20.52,0,-0.4
1.65,-111.3068,42.4827,0.4,2008,10,19,12,19,8.41,0,-0.4
1.75,-113.9417,36.8598,0.4,2008,11,11,19,10,59.97,0,-0.4
1.91,-112.6858,37.2782,0.4,2008,12,26,11,31,3.3,0,-0.4
1.66,-112.3217,37.543,0.4,2009,9,24,19,57,28.88,0,-0.4
1.68,-112.3178,37.5475,0.4,2009,9,24,21,51,9.22,0,-0.4
3.24,-111.0872,41.6888,0.4,2010,5,27,6,16,55.91,0,-0.4
1.61,-112.248,41.5883,0.4,2010,6,11,18,9,52.44,0,-0.4
1.99,-111.5245,42.0068,0.5,2000,2,6,20,45,38.93,0,-0.5
1.29,-112.5188,37.886,0.5,2000,4,12,5,49,58.06,0,-0.5
1.9,-114.0978,37.6735,0.5,2000,7,14,20,29,3.26,0,-0.5
1.78,-112.5423,38.6483,0.5,2000,8,17,16,42,46.14,0,-0.5
3,-112.047,38.7925,0.5,2000,11,27,7,34,15.51,0,-0.5
2.06,-112.5388,38.7055,0.5,2001,2,23,21,55,44.66,0,-0.5
1.72,-112.554,38.6953,0.5,2001,2,24,9,32,11.57,0,-0.5
1.88,-112.5495,38.7043,0.5,2001,2,24,10,9,27.3,0,-0.5
2.26,-111.5088,39.02,0.5,2001,4,29,7,37,21.24,0,-0.5
2.88,-112.4657,38.5547,0.5,2001,7,31,9,48,52.55,0,-0.5
1.98,-111.617,41.7998,0.5,2001,11,4,12,24,12.99,0,-0.5
2.74,-112.4617,38.5582,0.5,2001,11,20,0,39,21.79,0,-0.5
2.05,-112.8735,37.0725,0.5,2002,2,7,20,7,12.36,0,-0.5
2.26,-112.4517,38.0685,0.5,2002,4,13,14,37,41.51,0,-0.5
1.5,-111.9308,39.967,0.5,2002,4,20,7,44,2.65,0,-0.5
1.26,-112.6358,38.2258,0.5,2002,6,29,3,53,47.58,0,-0.5
2.21,-111.5075,38.8362,0.5,2002,11,8,15,21,1.68,0,-0.5
1.94,-112.6823,38.1867,0.5,2004,3,16,15,40,41.03,0,-0.5
1.6,-111.4797,41.7367,0.5,2004,3,27,4,22,35.31,0,-0.5
1.59,-112.337,38.241,0.5,2004,6,12,18,1,41.26,0,-0.5
2.2,-112.0592,39.221,0.5,2004,10,28,5,52,53.33,0,-0.5
1.88,-113.6545,37.9088,0.5,2004,11,10,17,6,20.44,0,-0.5
1.69,-113.1202,37.4387,0.5,2004,11,21,8,10,34.36,0,-0.5
1.42,-113.3952,37.4497,0.5,2005,3,12,18,29,45.28,0,-0.5
1.59,-112.046,39.1958,0.5,2005,4,14,1,56,40.85,0,-0.5
2.01,-112.5402,37.5307,0.5,2005,6,25,1,58,31.82,0,-0.5
0.98,-112.7012,38.5373,0.5,2005,8,9,6,35,29.51,0,-0.5
2.32,-112.7203,38.0513,0.5,2005,8,19,9,25,34,0,-0.5
